ID,Rute Lengkap
Rute-67,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Pasar Minggu --[Jalan Kaki (Integrasi)]--> Terminal Pasar Minggu --[9D]--> Simpang Kuningan --[9]--> Semanggi --[Jalan Kaki (Integrasi)]--> Bendungan Hilir --[Bundaran HI - Lebak Bulus]--> Blok M BCA --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-68,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9]--> Cikoko --[Cibubur Line]--> Pancoran --[Jalan Kaki (Integrasi)]--> Pancoran Arah Barat --[4K]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-69,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9]--> Cikoko --[Cibubur Line]--> Pancoran --[Jalan Kaki (Integrasi)]--> Pancoran Arah Barat --[9]--> Tegal Parang Arah Barat --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[6V]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-70,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9]--> Cikoko --[Cibubur Line]--> Pancoran --[Jalan Kaki (Integrasi)]--> Pancoran Arah Barat --[9]--> Tegal Parang Arah Barat --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[7B]--> Blok M Jalur 2 --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-71,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9]--> Cikoko --[Cibubur Line]--> Pancoran --[Jalan Kaki (Integrasi)]--> Pancoran Arah Barat --[9C]--> Senayan Bank Jakarta --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-72,Start: UI -- [TJ 4B]--> Bus Stop Pasar Minggu -- [6T] --> St. MRT Blok A --[Lebak Bulus - Bundaran HI]--> St. MRT Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-73,Start: UI --[Jalan Kaki]-->Universitas Indonesia Train Station--[ Bogor Line]--> Pasar Minggu-- [6T] --> St. MRT Blok A --[Lebak Bulus - Bundaran HI]--> St. MRT Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-74,Start: UI --[Jalan Kaki]-->Universitas Indonesia Train Station--[ Bogor Line]--> Duren Kalibata --[7Q] --> St. MRT Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-75,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Cawang --[Jalan Kaki (Integrasi)]--> Cikoko --[Cibubur Line]--> Dukuh Atas --[Jalan Kaki (Integrasi)]--> Dukuh Atas BNI --[Bundaran HI - Lebak Bulus]--> Blok M BCA --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-76,Start: UI --[TJ 4B]--> Bus Stop Pasar Minggu --[6U]--> Terminal Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
